OrderID,OrderDate,CustomerName,Category,Product,Region,City,Quantity,UnitPrice,DiscountPct,Revenue,PaymentMethod,SalesRep
ORD1604,09/11/2025,Sai Verma,Sports,Football,south,Bengaluru,2,12528.65,0,25057.3,Debit Card,N. Gupta
ORD1155,06/24/2024,Myra Menon,HOME & KITCHEN,Vacuum Cleaner,east,Kolkata,9,2471.7,0,22245.3,  Cash on Delivery  ,S. Iyer
ORD1943,30-May-2024,Ravi Nair,BEAUTY,Face Moisturizer,West,Mumbai,1,20500.32,0.1,18450.29,Debit Card,S. Iyer
ORD1790,11/07/2025,Kabir Das,Electronics,Bluetooth Speaker,east,Patna,8,15516.04,0.25,93096.24,cash on delivery,N. Gupta
ORD1254,08/12/2025,Neha Kumar,Apparel,Women's Jeans,  West  ,Pune,3,6307.49,0,18922.47,debit card,K. Singh
ORD1573,11/12/2025,Diya Bose,Electronics,Wireless Mouse,east,Patna,5,9336.35,0.05,44347.66,,A. Sharma
ORD1997,03/07/2024,Vivaan Pillai,Books,Children's Storybook,south,Chennai,2,7019.67,0.15,11933.44,CREDIT CARD,T. Joshi
ORD1495,04/04/2024,Isha Kapoor,Apparel,Formal Shirt,west,Pune,5,4499.07,0.15,19121.05,credit card,P. Nair
ORD1652,02-Jan-2025,Myra Malhotra,BOOKS,Business Guide,south,Bengaluru,7,18436.85,0.1,116152.15,CASH ON DELIVERY,S. Iyer
ORD1467,05/21/2024,Arjun Bose,APPAREL,Yoga Pants,East,Patna,9,3424.54,0,30820.86,CASH ON DELIVERY,P. Nair
ORD1051,2024-09-10,Pooja Verma,electronics,Webcam,north,Lucknow,6,5721.92,0,34331.52,credit card,A. Sharma
ORD1519,19-Jun-2025,Aditya Iyer,  Home & Kitchen  ,Coffee Maker,west,Ahmedabad,9,24591.94,0.1,199194.71,Net Banking,R. Verma
ORD1367,07/12/2025,Priya Sharma,ELECTRONICS,Smartwatch,  West  ,Pune,8,4034.64,0.05,30663.26,  Debit Card  ,N. Gupta
ORD1333,2024-02-10,Kabir Bose,Electronics,Bluetooth Speaker,North,Chandigarh,5,6713.51,0,33567.55,Credit Card,S. Iyer
ORD1308,03/08/2024,Isha Rao,beauty,Shampoo,  South  ,Chennai,8,19023.41,0.15,129359.19,CREDIT CARD,S. Iyer
ORD1832,08/02/2025,Ravi Sharma,beauty,Lipstick,West,Mumbai,3,19270.77,0.1,52031.08,Debit Card,T. Joshi
ORD1708,14/01/2025,Meera Das,SPORTS,Dumbbell Set,east,Bhubaneswar,7,4553.09,0,31871.63,credit card,T. Joshi
ORD1800,08-Oct-2025,Vivaan Menon,sports,Cricket Bat,East,Kolkata,6,7825.95,0,46955.7,UPI,T. Joshi
ORD1979,14-Jul-2025,Neha Mehta,Books,Fiction Novel,north,Chandigarh,4,8463.35,0,33853.4,  Debit Card  ,P. Nair
ORD1387,17/01/2024,Meera Pillai,books,Business Guide,EAST,Bhubaneswar,2,5860.87,0.2,9377.39,Debit Card,R. Verma
ORD1139,05/16/2024,Aarav Das,  Books  ,Biography,EAST,Bhubaneswar,2,8718.34,0,17436.68,cash on delivery,M. Reddy
ORD1127,03/07/2024,Sneha Gupta,beauty,Face Wash,east,Kolkata,7,12785.94,0,89501.58,upi,K. Singh
ORD1378,27-Sep-2024,Ravi Das,apparel,Running Shoes,South,Hyderabad,1,5587.66,0.25,4190.74,Debit Card,R. Verma
ORD1911,10/10/2025,Aditya Malhotra,electronics,Webcam,north,Chandigarh,2,5375.85,0.2,8601.36,NET BANKING,M. Reddy
ORD1826,07-Sep-2024,Aarav Menon,  Books  ,Business Guide,North,Chandigarh,4,22785.53,0,91142.12,net banking,M. Reddy
ORD1047,2025-05-14,Aarav Das,sports,Yoga Mat,West,Pune,5,18873.86,0.2,75495.44,cash on delivery,P. Nair
ORD1442,02/20/2024,Isha Nair,ELECTRONICS,USB-C Hub,north,Chandigarh,1,14339.65,0.2,11471.72,NET BANKING,K. Singh
ORD1390,10/17/2024,Karan Nair,  Sports  ,Skipping Rope,  East  ,Patna,7,3477.0,0.25,18254.25,Debit Card,R. Verma
ORD1373,01/03/2025,Ananya Sharma,BEAUTY,Perfume,East,Bhubaneswar,6,6267.45,0.05,35724.46,net banking,K. Singh
ORD1391,05-Dec-2025,Aarav Sharma,beauty,Face Wash,East,Kolkata,,13135.13,0,131351.3,NET BANKING,P. Nair
ORD1110,10/10/2025,Vihaan Sharma,APPAREL,Baseball Cap,east,Bhubaneswar,3,21766.09,0.2,52238.62,CREDIT CARD,S. Iyer
ORD1540,06/02/2024,Priya Nair,ELECTRONICS,Portable SSD,south,Chennai,6,12239.61,0.25,55078.25,DEBIT CARD,S. Iyer
ORD1727,03/16/2024,Arjun Chatterjee,Beauty,Sunscreen SPF50,South,Chennai,4,10097.77,0,40391.08,UPI,A. Sharma
ORD1137,2025-09-21,Sneha Pillai,  Electronics  ,Webcam,north,Lucknow,4,18005.83,0.1,64820.99,NET BANKING,A. Sharma
ORD1941,13-Nov-2025,Aditya Singh,books,Self-Help Book,  South  ,Chennai,3,8404.06,,18909.14,Debit Card,A. Sharma
ORD1631,23-Jul-2024,Aarav Verma,BOOKS,Children's Storybook,east,Bhubaneswar,3,15809.39,0,47428.17,CREDIT CARD,N. Gupta
ORD1130,01/11/2025,Myra Bose,home & kitchen,Vacuum Cleaner,west,Ahmedabad,4,13420.18,0.1,48312.65,net banking,P. Nair
ORD1426,2025-06-13,Ananya Chatterjee,sports,Skipping Rope,west,Mumbai,7,5631.72,0,39422.04,Net Banking,P. Nair
ORD1417,11-Sep-2025,Aditya Singh,Home & Kitchen,Air Fryer,  West  ,Mumbai,6,5821.22,0.15,29688.22,UPI,K. Singh
ORD1370,10/24/2024,Ananya Pillai,beauty,Hair Dryer,South,,1,21306.98,0.25,15980.24,Cash on Delivery,R. Verma
ORD1108,2024-08-17,Meera Patel,  Books  ,Biography,North,Chandigarh,6,Rs.2724.47,0.05,15529.48,DEBIT CARD,T. Joshi
ORD1400,24-Sep-2024,Kabir Menon,beauty,Perfume,east,Bhubaneswar,4,11450.76,0.2,36642.43,cash on delivery,A. Sharma
ORD1905,06/26/2024,Meera Chatterjee,sports,Football,  West  ,Mumbai,1,20063.09,0.2,16050.47,  Debit Card  ,N. Gupta
ORD1545,16-Feb-2024,Neha Kumar,BEAUTY,Sunscreen SPF50,North,Delhi,7,,0,57450.68,upi,P. Nair
ORD1101,2024-05-09,Vihaan Joshi,electronics,Wireless Mouse,South,Bengaluru,10,8195.72,0,81957.2,UPI,A. Sharma
ORD1849,2025-06-09,Reyansh Reddy,sports,Skipping Rope,West,Ahmedabad,3,239.47,0.05,682.49,Cash on Delivery,A. Sharma
ORD1942,2025-04-30,Ananya Mehta,Sports,Skipping Rope,East,Kolkata,2,4392.52,0,8785.04,cash on delivery,M. Reddy
ORD1978,09/26/2024,Meera Verma,  Electronics  ,USB-C Hub,East,Bhubaneswar,9,17483.32,0,157349.88,CASH ON DELIVERY,T. Joshi
ORD1220,06-Dec-2024,Meera Reddy,Home & Kitchen,Vacuum Cleaner,west,Ahmedabad,8,2808.26,0.1,20219.47,  Credit Card  ,N. Gupta
ORD1114,02/05/2024,Isha Patel,apparel,Yoga Pants,NORTH,Delhi,4,19218.64,0.1,69187.1,  UPI  ,M. Reddy
ORD1624,16/11/2024,Karan Kapoor,books,Children's Storybook,North,Lucknow,5,12486.81,0,62434.05,  Debit Card  ,R. Verma
ORD1178,23/10/2024,Neha Singh,Books,Business Guide,NORTH,Delhi,1,24929.72,0.2,19943.78,  Net Banking  ,S. Iyer
ORD1295,31-Aug-2024,Isha Rao,  Electronics  ,Bluetooth Speaker,EAST,Kolkata,9,18092.65,0.1,146550.46,UPI,K. Singh
ORD1049,21-Feb-2024,Karan Sharma,BEAUTY,Face Moisturizer,WEST,Ahmedabad,2,16122.33,0,32244.66,NET BANKING,S. Iyer
ORD1276,2024-03-17,Kabir Iyer,APPAREL,Women's Jeans,North,Delhi,4,20618.28,0.15,70102.15,Credit Card,K. Singh
ORD1996,2025-05-06,Rohan Bose,Home & Kitchen,Bed Sheet Set,EAST,Kolkata,1,11081.75,0.25,8311.31,Credit Card,M. Reddy
ORD1406,08-Jul-2025,Sai Nair,Apparel,Winter Jacket,East,Kolkata,2,16943.93,0.25,25415.9,CASH ON DELIVERY,A. Sharma
ORD1713,2025-06-13,Neha Mehta,sports,Yoga Mat,east,Bhubaneswar,2,17052.31,0.25,25578.47,  Net Banking  ,M. Reddy
ORD1845,2024-07-25,Rohan Nair,Beauty,Sunscreen SPF50,  South  ,Hyderabad,2,23554.18,0.15,40042.11,UPI,T. Joshi
ORD1058,2025-12-08,Isha Gupta,home & kitchen,LED Desk Lamp,north,Lucknow,4,18043.86,,54131.58,cash on delivery,P. Nair
ORD1812,2025-01-07,Pooja Mehta,BEAUTY,Sunscreen SPF50,SOUTH,Bengaluru,1,2252.57,0,2252.57,cash on delivery,K. Singh
ORD1675,21/08/2024,Vihaan Rao,Home & Kitchen,Blender,North,Chandigarh,-6,Rs.15791.59,0.05,90012.06,debit card,N. Gupta
ORD1499,06/01/2024,Myra Mehta,Apparel,Formal Shirt,South,Bengaluru,9,8080.87,0.25,54545.87,  Credit Card  ,K. Singh
ORD1921,11/29/2025,Pooja Mehta,Home & Kitchen,Vacuum Cleaner,SOUTH,Bengaluru,10,23664.84,0,236648.4,cash on delivery,N. Gupta
ORD1344,19/12/2025,Kabir Sharma,Home & Kitchen,Cutlery Set,north,Delhi,6,8975.2,0.1,48466.08,cash on delivery,M. Reddy
ORD1886,2025-06-08,Vihaan Patel,APPAREL,Women's Jeans,west,Mumbai,7,10314.48,0,72201.36,NET BANKING,M. Reddy
ORD1606,01-May-2024,Reyansh Bhatt,Books,Biography,WEST,Ahmedabad,6,20265.62,0,121593.72,Credit Card,N. Gupta
ORD1928,2024-05-21,Vivaan Patel,  Electronics  ,Smartwatch,  North  ,Delhi,2,6703.62,0.2,10725.79,UPI,S. Iyer
ORD1125,2024-10-17,Meera Verma,Sports,Skipping Rope,EAST,Patna,6,1787.91,0,10727.46,Cash on Delivery,N. Gupta
ORD1859,05/05/2025,Diya Malhotra,  Electronics  ,Noise Cancelling Headphones,North,Delhi,10,22325.9,0,223259,UPI,M. Reddy
ORD1671,2024-06-03,Kabir Malhotra,  Electronics  ,USB-C Hub,NORTH,,5,24842.52,0.15,105580.71,Credit Card,K. Singh
ORD1585,01/17/2025,Vihaan Pillai,Home & Kitchen,Cutlery Set,  North  ,Lucknow,8,14204.53,0.1,102272.62,NET BANKING,R. Verma
ORD1226,18-Apr-2024,Meera Verma,APPAREL,Formal Shirt,south,,10,24592.66,0.2,196741.28,upi,N. Gupta
ORD1173,08/10/2025,Ravi Das,Books,Self-Help Book,west,Pune,9,23352.45,0.1,189154.85,UPI,R. Verma
ORD1268,02-Jan-2024,Aarav Rao,Sports,Football,south,,1,5939.99,0.15,5048.99,CREDIT CARD,M. Reddy
ORD1246,2024-08-04,Rohan Das,home & kitchen,Non-stick Pan,north,Lucknow,2,19922.6,0.2,31876.16,DEBIT CARD,N. Gupta
ORD1436,2024-01-22,Ravi Joshi,Books,Self-Help Book,north,Delhi,6,24544.64,0.15,125177.66,NET BANKING,P. Nair
ORD1984,16-Jan-2024,Kabir Joshi,APPAREL,Formal Shirt,  West  ,Mumbai,2,14777.14,0.05,28076.57,NET BANKING,A. Sharma
ORD1374,10/14/2024,Rohan Das,APPAREL,Formal Shirt,West,Pune,5,12251.24,0,61256.2,debit card,R. Verma
ORD1085,2025-06-27,Arjun Verma,BOOKS,Cookbook,north,Delhi,5,9057.81,0.2,36231.24,Debit Card,P. Nair
ORD1918,2025-02-11,Ananya Verma,Home & Kitchen,Bed Sheet Set,NORTH,,9,6438.63,0.2,46358.14,  UPI  ,M. Reddy
ORD1693,21-Oct-2025,Reyansh Gupta,home & kitchen,Non-stick Pan,WEST,Ahmedabad,3,17724.13,0.1,47855.15,  Cash on Delivery  ,R. Verma
ORD1700,02/10/2024,Pooja Rao,home & kitchen,Non-stick Pan,east,Bhubaneswar,2,12181.66,0.2,19490.66,debit card,A. Sharma
ORD1349,29/12/2025,Diya Iyer,SPORTS,Resistance Bands,East,Bhubaneswar,7,15122.73,0.1,95273.2,Cash on Delivery,M. Reddy
ORD1931,14-Jan-2024,Kabir Reddy,Home & Kitchen,Coffee Maker,East,Patna,2,2017.34,0.25,3026.01,credit card,P. Nair
ORD1571,12/27/2024,Reyansh Joshi,Home & Kitchen,Blender,EAST,Kolkata,8,9391.77,0.1,67620.74,CREDIT CARD,S. Iyer
ORD1064,30/07/2025,Sai Gupta,apparel,Men's T-Shirt,east,Bhubaneswar,7,12369.9,0,86589.3,DEBIT CARD,S. Iyer
ORD1172,2024-10-22,Ravi Reddy,  Books  ,Business Guide,East,Patna,4,7083.31,0.1,25499.92,DEBIT CARD,K. Singh
ORD1456,2024-09-05,Ravi Bhatt,Beauty,Face Wash,south,,4,12273.35,,46638.73,Cash on Delivery,P. Nair
ORD1770,07/06/2024,Vivaan Joshi,HOME & KITCHEN,Vacuum Cleaner,South,Hyderabad,4,15260.37,0.2,48833.18,CASH ON DELIVERY,M. Reddy
ORD1608,02/06/2025,Sai Pillai,Apparel,Baseball Cap,  West  ,Pune,8,16552.95,0.25,99317.7,Net Banking,S. Iyer
ORD1977,2024-10-21,Kabir Patel,APPAREL,Men's T-Shirt,East,Kolkata,5,9852.1,0.15,41871.42,Credit Card,S. Iyer
ORD1144,2024-06-19,Sai Gupta,BEAUTY,Lipstick,east,Bhubaneswar,6,16573.84,0.1,89498.74,Net Banking,N. Gupta
ORD1270,2025-08-29,Vihaan Bose,electronics,USB-C Hub,west,Ahmedabad,2,14582.15,0,29164.3,NET BANKING,R. Verma
ORD1724,24-Jul-2024,Kabir Kapoor,  Home & Kitchen  ,Non-stick Pan,south,Bengaluru,9,21488.75,0.2,154719,UPI,P. Nair
ORD1533,01-Feb-2025,Arjun Mehta,  Electronics  ,Webcam,  East  ,Bhubaneswar,3,19551.17,0.1,52788.16,Credit Card,N. Gupta
ORD1834,12/05/2024,Isha Nair,home & kitchen,Air Fryer,North,Chandigarh,4,7229.76,0,28919.04,Net Banking,N. Gupta
ORD1231,09/20/2025,Kabir Chatterjee,APPAREL,Formal Shirt,WEST,Pune,3,4781.72,0.2,11476.13,  Net Banking  ,A. Sharma
ORD1520,25-Apr-2025,Aditya Bhatt,beauty,Shampoo,  South  ,Chennai,10,7915.62,0,79156.2,UPI,A. Sharma
ORD1564,25-Oct-2025,Priya Das,beauty,Perfume,North,Delhi,8,,0.15,105641.2,UPI,S. Iyer
ORD1611,05/12/2025,Vivaan Joshi,Home & Kitchen,Bed Sheet Set,WEST,Pune,4,5980.36,0.1,21529.3,cash on delivery,R. Verma
ORD1864,29-Dec-2025,,  Sports  ,Cricket Bat,EAST,Patna,2,6886.67,0.25,10330.01,UPI,K. Singh
ORD1065,06/04/2025,Pooja Rao,home & kitchen,Coffee Maker,South,Bengaluru,10,14963.75,0.05,142155.62,Cash on Delivery,N. Gupta
ORD1133,08/29/2024,,Apparel,Yoga Pants,NORTH,Delhi,1,10460.19,0.2,8368.15,Cash on Delivery,M. Reddy
ORD1613,12/08/2025,Priya Pillai,Electronics,Webcam,NORTH,Chandigarh,7,8162.17,0,57135.19,net banking,R. Verma
ORD1318,21/09/2024,Myra Singh,Beauty,Nail Polish,east,Patna,9,4651.23,0,41861.07,NET BANKING,S. Iyer
ORD1665,01/10/2024,Vivaan Kapoor,sports,Badminton Racket,south,Hyderabad,1,10636.81,0.15,9041.29,  Cash on Delivery  ,R. Verma
ORD1082,2024-03-17,Sai Kapoor,Beauty,Perfume,  North  ,Chandigarh,8,531.39,0,4251.12,NET BANKING,S. Iyer
ORD1962,09/19/2025,Myra Chatterjee,sports,Skipping Rope,NORTH,Delhi,8,24570.0,0.05,186732,  Cash on Delivery  ,K. Singh
ORD1215,01/04/2025,Aditya Gupta,  Beauty  ,Hair Dryer,  South  ,Hyderabad,5,3982.39,,19911.95,,M. Reddy
ORD1116,18-Feb-2025,Arjun Pillai,Sports,Yoga Mat,  West  ,Mumbai,7,14398.98,0.2,80634.29,  UPI  ,R. Verma
ORD1412,2024-05-17,Diya Iyer,  Beauty  ,Face Wash,WEST,Mumbai,8,20170.86,0,161366.88,NET BANKING,T. Joshi
ORD1477,2024-11-27,Sneha Nair,Books,Biography,north,Lucknow,3,19501.47,0,58504.41,  Net Banking  ,N. Gupta
ORD1736,2024-05-17,Myra Rao,Sports,Football,  West  ,Mumbai,7,14348.55,0.15,85373.87,upi,R. Verma
ORD1944,08-Jan-2025,Arjun Bose,electronics,Bluetooth Speaker,EAST,Patna,8,18410.15,0.1,132553.08,Net Banking,K. Singh
ORD1813,05/23/2024,Aarav Joshi,Beauty,Lipstick,West,Ahmedabad,5,1297.23,0.1,5837.53,CASH ON DELIVERY,T. Joshi
ORD1289,23/05/2025,Vivaan Singh,books,Children's Storybook,west,Ahmedabad,10,8057.69,0.05,76548.05,  Cash on Delivery  ,R. Verma
ORD1301,26/06/2024,Priya Verma,APPAREL,Sneakers,East,Kolkata,9,Rs.14344.82,0,129103.38,CREDIT CARD,T. Joshi
ORD1880,2024-01-25,Sai Kumar,Sports,Resistance Bands,South,Hyderabad,7,22428.3,0,156998.1,CASH ON DELIVERY,S. Iyer
ORD1629,23/03/2024,Isha Singh,home & kitchen,Coffee Maker,SOUTH,Chennai,8,15839.11,0.2,101370.3,  Credit Card  ,K. Singh
ORD1454,10/23/2024,Priya Bose,BEAUTY,Sunscreen SPF50,  South  ,Bengaluru,10,14445.08,0,144450.8,debit card,N. Gupta
ORD1168,23/06/2024,Myra Sharma,Home & Kitchen,Coffee Maker,West,Ahmedabad,10,11943.57,0.05,113463.91,credit card,T. Joshi
ORD1758,18-Nov-2025,Meera Nair,home & kitchen,Blender,South,Bengaluru,3,7459.49,0.2,17902.78,DEBIT CARD,R. Verma
ORD1907,26-Jan-2024,Neha Sharma,  Apparel  ,Women's Jeans,North,Delhi,10,3953.26,0,39532.6,Cash on Delivery,N. Gupta
ORD1680,2025-06-07,Arjun Chatterjee,Home & Kitchen,Coffee Maker,NORTH,Lucknow,3,13083.67,0.1,35325.91,Debit Card,R. Verma
ORD1007,2024-02-02,Priya Mehta,books,Self-Help Book,south,Chennai,9,5607.44,0.15,42896.92,credit card,P. Nair
ORD1722,05/10/2024,Ravi Menon,Beauty,Hair Dryer,  East  ,Bhubaneswar,8,4770.2,0,38161.6,CREDIT CARD,A. Sharma
ORD1557,03/29/2024,Arjun Joshi,SPORTS,Badminton Racket,WEST,Mumbai,5,15150.35,0,75751.75,cash on delivery,P. Nair
ORD1385,04/04/2025,Priya Menon,APPAREL,Baseball Cap,South,Hyderabad,10,15994.92,0.1,143954.28,Credit Card,P. Nair
ORD1901,14-Nov-2025,Ravi Menon,Books,Fiction Novel,  West  ,Mumbai,9,2627.6,0.25,17736.3,Cash on Delivery,A. Sharma
ORD1041,2025-10-06,,HOME & KITCHEN,Vacuum Cleaner,south,Bengaluru,4,24600.81,0,98403.24,  Net Banking  ,N. Gupta
ORD1784,04/06/2025,Vihaan Singh,  Home & Kitchen  ,Air Fryer,South,Bengaluru,3,5070.81,0,15212.43,cash on delivery,R. Verma
ORD1513,20/12/2025,Pooja Das,  Beauty  ,Face Moisturizer,north,Lucknow,2,21552.01,0,43104.02,debit card,N. Gupta
ORD1663,22-Feb-2024,Ravi Sharma,books,Business Guide,west,Pune,8,14692.87,0.05,111665.81,UPI,N. Gupta
ORD1018,02/24/2025,Neha Reddy,Apparel,Sneakers,South,Chennai,2,2558.73,,4093.97,  UPI  ,N. Gupta
ORD1397,2025-09-05,Ravi Bose,beauty,Face Moisturizer,South,Hyderabad,1,5162.42,0.1,4646.18,DEBIT CARD,A. Sharma
ORD1721,10/14/2025,Sai Sharma,Beauty,Perfume,South,Bengaluru,10,17875.49,0.05,169817.16,Cash on Delivery,S. Iyer
ORD1839,19/01/2024,Diya Chatterjee,Beauty,Lipstick,SOUTH,Bengaluru,1,6955.46,0.05,6607.69,DEBIT CARD,N. Gupta
ORD1503,13/11/2024,Karan Iyer,Home & Kitchen,Vacuum Cleaner,North,Chandigarh,2,20349.35,0.25,30524.02,credit card,T. Joshi
ORD1684,2024-04-10,Priya Kapoor,books,Business Guide,south,Hyderabad,4,2764.89,0.05,10506.58,,T. Joshi
ORD1357,02/10/2025,Rohan Iyer,apparel,Baseball Cap,North,Chandigarh,1,3969.53,0.15,3374.1,CASH ON DELIVERY,A. Sharma
ORD1803,2025-12-27,,sports,Dumbbell Set,  East  ,Bhubaneswar,7,2568.39,0.15,15281.92,Cash on Delivery,A. Sharma
ORD1435,30/12/2024,Aditya Joshi,books,Biography,South,Chennai,3,12572.99,0.15,32061.12,  Credit Card  ,A. Sharma
ORD1677,10/08/2025,Priya Singh,ELECTRONICS,Bluetooth Speaker,East,Bhubaneswar,7,1677.49,0,11742.43,,A. Sharma
ORD1929,18/06/2025,,Beauty,Nail Polish,North,Delhi,10,22211.79,,177694.32,Net Banking,R. Verma
ORD1019,05/23/2024,Priya Kumar,  Sports  ,Yoga Mat,NORTH,Delhi,2,6329.11,0.05,12025.31,cash on delivery,T. Joshi
ORD1033,08/21/2024,Ravi Joshi,APPAREL,Women's Jeans,West,Mumbai,4,20442.18,0.25,61326.54,UPI,K. Singh
ORD1054,08/11/2025,Myra Menon,BEAUTY,Sunscreen SPF50,North,Lucknow,2,19936.25,0,39872.5,UPI,N. Gupta
ORD1214,28-Mar-2024,Kabir Das,ELECTRONICS,Smartwatch,  West  ,Pune,9,23537.4,,169469.28,Debit Card,N. Gupta
ORD1850,25-Oct-2024,Myra Mehta,SPORTS,Cycling Helmet,East,Kolkata,9,3109.72,0.05,26588.11,Credit Card,P. Nair
ORD1731,29/06/2025,Meera Rao,Home & Kitchen,Bed Sheet Set,South,Hyderabad,2,3094.56,0,6189.12,Debit Card,P. Nair
ORD1527,26-Jan-2025,Reyansh Iyer,Books,Business Guide,WEST,Pune,9,21776.4,0,195987.6,,T. Joshi
ORD1192,09/03/2024,Sai Verma,Apparel,Baseball Cap,SOUTH,Hyderabad,7,15430.84,0,108015.88,Debit Card,P. Nair
ORD1284,28-Jun-2024,Aarav Das,apparel,Formal Shirt,East,Patna,10,14155.62,0.05,134478.39,Net Banking,K. Singh
ORD1914,08/05/2025,Arjun Iyer,home & kitchen,Coffee Maker,  South  ,Bengaluru,4,2223.55,0,8894.2,  UPI  ,K. Singh
ORD1079,07/05/2025,Myra Pillai,Home & Kitchen,LED Desk Lamp,North,Chandigarh,10,24972.72,0.25,187295.4,Debit Card,T. Joshi
